City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,goundi,9.3627,17.366,23.41,89,100,1.38,TD,1691799817
142,papatowai,-46.5619,169.4708,8.33,79,100,2.0,NZ,1691799817
143,togur,58.3631,82.8265,10.64,97,100,3.09,RU,1691799817
144,brisas de zicatela,15.8369,-97.0419,30.29,58,75,3.09,MX,1691799817
145,vuktyl,63.8567,57.3094,10.93,84,6,1.38,RU,1691799817
146,kattivakkam,13.2167,80.3167,27.26,84,98,5.7,IN,1691799818
147,eynesil,41.0645,39.1438,24.58,94,100,1.85,TR,1691799818
148,yaren,-0.5472,166.916,28.99,72,24,4.91,NR,1691799818
149,diapaga,12.0708,1.7889,23.56,92,90,2.39,BF,1691799818
150,puerto baquerizo moreno,-0.9,-89.6,23.58,80,75,5.05,EC,1691799818
151,novyy urengoy,66.0833,76.6333,4.01,57,0,10.05,RU,1691799818
152,olyokminsk,60.3736,120.4264,19.78,89,100,1.1,RU,1691799818
153,ivanava,52.1451,25.5365,13.37,85,71,2.33,BY,1691799819
154,utrik,11.2278,169.8474,28.23,80,44,7.25,MH,1691799819
155,hancheng,32.5186,112.3522,26.52,80,100,1.34,CN,1691799819
156,jilotepec de molina enriquez,19.9528,-99.5347,21.18,49,33,5.09,MX,1691799819
157,santa ines,-3.6667,-45.38,25.69,49,1,1.58,BR,1691799580
158,ambon,-3.6954,128.1814,25.68,81,73,5.16,ID,1691799819
159,hastings,50.8552,0.5729,17.4,50,99,4.31,GB,1691799802
160,ketchikan,55.3422,-131.6461,16.26,88,100,6.17,US,1691799820
161,ushuaia,-54.8,-68.3,2.81,70,20,4.12,AR,1691799711
162,cabo san lucas,22.8909,-109.9124,34.23,70,40,3.09,MX,1691799263
163,fort mcmurray,56.7268,-111.381,17.77,72,75,1.54,CA,1691799820
164,egilsstadir,65.2653,-14.3948,7.95,93,100,4.12,IS,1691799820
165,tuy hoa,13.0833,109.3,28.99,67,100,2.92,VN,1691799820
166,tura,25.5198,90.2201,23.83,98,100,2.59,IN,1691799820
167,soio,-6.1349,12.3689,21.06,93,5,3.06,AO,1691799821
168,tazovsky,67.4667,78.7,3.2,58,0,10.52,RU,1691799821
169,cannonvale,-20.2833,148.7,19.66,57,0,3.32,AU,1691799821
170,nyandoma,61.669,40.1991,17.08,89,60,2.16,RU,1691799821
171,kulhudhuffushi,6.6221,73.07,28.01,73,92,5.8,MV,1691799821
172,orange,33.7,-117.7675,30.6,70,40,3.6,US,1691799781
173,natal,-5.795,-35.2094,24.36,94,75,2.06,BR,1691799822
174,lee acres,35.1487,-106.647,34.55,24,75,6.69,US,1691799822
175,college,64.8569,-147.8028,24.0,55,75,2.06,US,1691799822
176,topolobampo,25.6,-109.05,32.95,55,40,7.2,MX,1691799822
177,martuk,50.7475,56.5056,16.41,55,9,3.11,KZ,1691799823
178,miramichi,47.0043,-65.4654,15.82,97,100,4.42,CA,1691799533
179,moradabad,28.8333,78.7833,26.93,81,89,2.66,IN,1691799824
180,bereznik,62.8551,42.7072,18.09,87,4,2.22,RU,1691799694
181,labrador city,52.9463,-66.9114,14.95,72,75,1.54,CA,1691799610
182,lahan,26.7296,86.4951,26.2,93,100,1.69,NP,1691799824
183,mar del plata,-38.0023,-57.5575,8.38,72,0,8.23,AR,1691799824
184,zilair,52.2332,57.4392,10.6,77,60,1.05,RU,1691799554
185,kisesa,-3.0833,34.15,21.22,50,69,2.84,TZ,1691799825
186,aasiaat,68.7098,-52.8699,5.04,88,90,2.66,GL,1691799825
187,epernon,48.6103,1.6722,19.58,97,96,2.68,FR,1691799825
188,mili,6.0815,171.735,28.3,76,51,4.65,MH,1691799772
189,dudinka,69.4058,86.1778,7.57,48,18,13.23,RU,1691799825
190,magole,-6.3667,37.3667,18.54,88,2,1.03,TZ,1691799825
191,shingu,33.7333,135.9833,30.53,59,0,0.65,JP,1691799825
192,nishinoomote,30.7333,131.0,28.31,94,40,1.54,JP,1691799826
193,hirara,24.8,125.2833,29.92,84,40,1.54,JP,1691799826
194,vilyuchinsk,52.9306,158.4028,20.15,65,50,1.13,RU,1691799827
195,trenton,40.217,-74.7429,27.69,68,0,1.54,US,1691799827
